,Name,Rating,Genre,Release Date,Runtime,Director,Url
536,Jumanji: The Next Level,70,"Adventure, Comedy, Fantasy",12/13/2019,2h 3m,Jake Kasdan,https://www.themoviedb.org/movie/512200
537,The Banishing,53.0,Horror,04/29/2021,1h 37m,Christopher Smith,https://www.themoviedb.org/movie/573680
538,Battle: Los Angeles,57.0,"Science Fiction, Action",03/08/2011,1h 56m,Jonathan Liebesman,https://www.themoviedb.org/movie/44943
539,The Hunger Games: Mockingjay - Part 1,68.0,"Science Fiction, Adventure, Thriller",11/21/2014,2h 3m,Francis Lawrence,https://www.themoviedb.org/movie/131631
540,After Porn Ends 2,55.0,Documentary,03/28/2017,1h 30m,Bryce Wagoner,https://www.themoviedb.org/movie/440249
541,The Dark Knight,85.0,"Drama, Action, Crime, Thriller",07/18/2008,2h 32m,Christopher Nolan,https://www.themoviedb.org/movie/155
542,Batman v Superman: Dawn of Justice,59.0,"Action, Adventure, Fantasy",05/06/2016,2h 32m,Bill Finger,https://www.themoviedb.org/movie/209112
543,Please Enlighten Me,15.0,Romance,02/03/2021,1h 16m,Lu Ying,https://www.themoviedb.org/movie/793147
544,Batman Begins,77.0,"Action, Crime, Drama",06/17/2005,2h 20m,Christopher Nolan,https://www.themoviedb.org/movie/272
545,The Lion King II: Simba's Pride,70,"Family, Adventure, Animation",10/24/1998,1h 21m,Jonathan Roberts,https://www.themoviedb.org/movie/9732
546,The 8th Night,61.0,"Mystery, Thriller, Horror",07/02/2021,1h 55m,Kim Tae-hyoung,https://www.themoviedb.org/movie/604360
547,American Pie Presents: The Book of Love,53.0,Comedy,12/04/2009,1h 33m,Adam Herz,https://www.themoviedb.org/movie/26123
548,The Desperate Hour,59.0,Thriller,02/17/2022,1h 24m,Phillip Noyce,https://www.themoviedb.org/movie/764835
549,The Princess and the Frog,71.0,"Romance, Family, Animation",12/10/2009,1h 38m,John Musker,https://www.themoviedb.org/movie/10198
550,Beckett,63.0,"Crime, Mystery, Thriller",08/13/2021,1h 49m,Ferdinando Cito Filomarino,https://www.themoviedb.org/movie/597433
551,The Simpsons Movie,70,"Animation, Comedy, Family",07/27/2007,1h 27m,David Silverman,https://www.themoviedb.org/movie/35
552,Skylines,56.0,"Science Fiction, Action",10/25/2020,1h 53m,Liam O'Donnell,https://www.themoviedb.org/movie/560144
553,Virus:32,83.0,Horror,04/21/2022,1h 30m,Gustavo Hernández,https://www.themoviedb.org/movie/893370
554,Ponyo,77.0,"Animation, Fantasy, Family",07/19/2008,1h 40m,Hayao Miyazaki,https://www.themoviedb.org/movie/12429
555,Jolt,67.0,"Action, Comedy",07/15/2021,1h 31m,Tanya Wexler,https://www.themoviedb.org/movie/617502
556,More the Merrier,67.0,"Comedy, Romance",07/30/2021,1h 52m,Paco Caballero,https://www.themoviedb.org/movie/763152
557,Grown Ups 2,61.0,Comedy,07/12/2013,1h 41m,Adam Sandler,https://www.themoviedb.org/movie/109418
558,Life in a Year,83.0,"Drama, Romance",11/27/2020,1h 47m,Mitja Okorn,https://www.themoviedb.org/movie/447362
559,The Hangover Part III,62.0,Comedy,05/23/2013,1h 40m,Todd Phillips,https://www.themoviedb.org/movie/109439
560,Tall Girl 2,59.0,"Comedy, Drama, Romance",02/11/2022,1h 37m,Emily Ting,https://www.themoviedb.org/movie/772272
561,Ted,64.0,"Comedy, Fantasy",06/29/2012,1h 47m,Seth MacFarlane,https://www.themoviedb.org/movie/72105
562,Taken,74.0,"Action, Thriller",09/25/2008,1h 34m,Pierre Morel,https://www.themoviedb.org/movie/8681
563,Prometheus,65.0,"Science Fiction, Adventure, Mystery",06/08/2012,2h 4m,Dan O'Bannon,https://www.themoviedb.org/movie/70981
564,The Expendables,62.0,"Thriller, Adventure, Action",08/13/2010,1h 43m,Sylvester Stallone,https://www.themoviedb.org/movie/27578
565,Ice Age: Collision Course,61.0,"Adventure, Animation, Family, Comedy, Science Fiction",07/22/2016,1h 35m,Mike Thurmeier,https://www.themoviedb.org/movie/278154
566,Dragon Ball Z: Wrath of the Dragon,72.0,"Animation, Action, Science Fiction",07/15/1995,51m,Akira Toriyama,https://www.themoviedb.org/movie/39108
567,Shrek Forever After,63.0,"Comedy, Adventure, Fantasy, Animation, Family",05/16/2010,1h 33m,Terry Rossio,https://www.themoviedb.org/movie/10192
568,Hercules,75.0,"Animation, Family, Fantasy, Adventure, Comedy, Romance",06/27/1997,1h 33m,Ron Clements,https://www.themoviedb.org/movie/11970
569,Pinocchio,71.0,"Animation, Family",02/23/1940,1h 28m,Campbell Grant,https://www.themoviedb.org/movie/10895
570,Zootopia,77.0,"Animation, Adventure, Family, Comedy",03/04/2016,1h 49m,Byron Howard,https://www.themoviedb.org/movie/269149
571,The Pilgrim's Progress,79.0,"Animation, Adventure",04/18/2019,1h 48m,Robert Fernandez,https://www.themoviedb.org/movie/595172
572,Psycho-Pass 3: First Inspector,76.0,"Science Fiction, Action, Crime, Animation",03/27/2020,2h 17m,Naoyoshi Shiotani,https://www.themoviedb.org/movie/655431
573,Rurouni Kenshin: The Final,79.0,"Action, Adventure, Drama",04/23/2021,2h 18m,Keishi Ōtomo,https://www.themoviedb.org/movie/602063
574,Baby Driver,75.0,"Action, Crime",06/30/2017,1h 53m,Edgar Wright,https://www.themoviedb.org/movie/339403
575,Bordertown: The Mural Murders,67.0,Crime,10/27/2021,1h 47m,Juuso Syrjä,https://www.themoviedb.org/movie/716810
576,High School Teacher: Maturing,64.0,Drama,01/15/1985,1h 9m,Shōgorō Nishimura,https://www.themoviedb.org/movie/630639
577,The Twilight Saga: Breaking Dawn - Part 2,65.0,"Adventure, Fantasy, Drama, Romance",11/16/2012,1h 55m,Bill Condon,https://www.themoviedb.org/movie/50620
578,Superbad,72.0,Comedy,08/17/2007,1h 53m,Greg Mottola,https://www.themoviedb.org/movie/8363
579,La Llorona,65.0,"Thriller, Horror, Drama",01/22/2020,1h 37m,Jayro Bustamante,https://www.themoviedb.org/movie/617708
580,Garfield,56.0,"Animation, Comedy, Family",06/11/2004,1h 20m,Peter Hewitt,https://www.themoviedb.org/movie/8920
581,Fatherhood,76.0,"Drama, Family, Comedy",06/18/2021,1h 49m,Paul Weitz,https://www.themoviedb.org/movie/607259
582,Kung Fu Panda,72.0,"Action, Adventure, Animation, Family, Comedy",06/05/2008,1h 30m,Mark Osborne,https://www.themoviedb.org/movie/9502
583,Dragon Ball Z: Bojack Unbound,70,"Action, Animation, Science Fiction",07/10/1993,51m,Yoshihiro Ueda,https://www.themoviedb.org/movie/39105
584,Godzilla: King of the Monsters,67.0,"Science Fiction, Action",05/30/2019,2h 12m,Michael Dougherty,https://www.themoviedb.org/movie/373571
585,The Emperor's New Groove,75.0,"Adventure, Animation, Comedy, Family, Fantasy",12/15/2000,1h 18m,Mark Dindal,https://www.themoviedb.org/movie/11688
586,A Whisker Away,80,"Animation, Drama, Romance, Fantasy",06/18/2020,1h 44m,Tomotaka Shibayama,https://www.themoviedb.org/movie/667520
587,From Straight A's to XXX,56.0,"Drama, TV Movie",02/11/2017,1h 27m,Vanessa Parise,https://www.themoviedb.org/movie/441168
588,The Twilight Saga: Breaking Dawn - Part 1,62.0,"Adventure, Fantasy, Romance",11/17/2011,1h 57m,Stephenie Meyer,https://www.themoviedb.org/movie/50619
589,The Hobbit: The Desolation of Smaug,76.0,"Fantasy, Adventure, Action",12/13/2013,2h 41m,Peter Jackson,https://www.themoviedb.org/movie/57158
590,There's Someone Inside Your House,56.0,"Thriller, Horror, Mystery",10/06/2021,1h 36m,Patrick Brice,https://www.themoviedb.org/movie/512025
591,Dragon Ball Z: The Return of Cooler,66.0,"Action, Animation, Science Fiction",03/07/1992,46m,Daisuke Nishio,https://www.themoviedb.org/movie/39103
592,Rock Dog 2: Rock Around the Park,70,"Animation, Comedy, Music, Family",06/24/2021,1h 30m,Mark Baldo,https://www.themoviedb.org/movie/812204
593,We Bare Bears: The Movie,79.0,"Family, Animation, Adventure, Comedy, TV Movie",06/30/2020,1h 9m,Daniel Chong,https://www.themoviedb.org/movie/677638
594,John Wick: Chapter 3 - Parabellum,74.0,"Action, Thriller, Crime",05/17/2019,2h 10m,Derek Kolstad,https://www.themoviedb.org/movie/458156
595,Terminator Genisys,59.0,"Science Fiction, Action, Thriller, Adventure",07/02/2015,2h 6m,Gale Anne Hurd,https://www.themoviedb.org/movie/87101
596,The Incredibles,77.0,"Action, Adventure, Animation, Family",12/17/2004,1h 55m,Brad Bird,https://www.themoviedb.org/movie/9806
597,Ralph Breaks the Internet,72.0,"Family, Animation, Comedy, Adventure",11/23/2018,1h 52m,Phil Johnston,https://www.themoviedb.org/movie/404368
598,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),70,"Action, Crime",02/07/2020,1h 49m,Paul Dini,https://www.themoviedb.org/movie/495764
599,Maleficent,71.0,"Fantasy, Adventure, Action, Family, Romance",07/04/2014,1h 37m,Robert Stromberg,https://www.themoviedb.org/movie/102651
600,The Lord of the Rings: The Return of the King,85.0,"Adventure, Fantasy, Action",02/06/2004,3h 21m,Peter Jackson,https://www.themoviedb.org/movie/122
601,Maleficent: Mistress of Evil,73.0,"Family, Fantasy, Adventure",10/18/2019,1h 59m,Linda Woolverton,https://www.themoviedb.org/movie/420809
602,Aquaman,69.0,"Action, Adventure, Fantasy",12/14/2018,2h 23m,James Wan,https://www.themoviedb.org/movie/297802
603,Voyagers,61.0,"Science Fiction, Thriller",04/09/2021,1h 48m,Neil Burger,https://www.themoviedb.org/movie/597890
604,A Nun's Curse,62.0,Horror,05/12/2020,1h 13m,Tommy Faircloth,https://www.themoviedb.org/movie/636879
605,Kate,67.0,Action,09/10/2021,1h 46m,Cedric Nicolas-Troyan,https://www.themoviedb.org/movie/597891
606,In for a Murder,56.0,"Crime, Comedy, Science Fiction",06/18/2021,1h 44m,Piotr Mularuk,https://www.themoviedb.org/movie/846167
607,Cell 211,75.0,"Action, Thriller, Drama",11/06/2009,1h 50m,Daniel Monzón,https://www.themoviedb.org/movie/33273
608,The Exorcist,77.0,Horror,08/27/1977,2h 2m,William Peter Blatty,https://www.themoviedb.org/movie/9552
609,Trollhunters: Rise of the Titans,78.0,"Animation, Fantasy, Family, Action, Adventure",07/21/2021,1h 46m,Guillermo del Toro,https://www.themoviedb.org/movie/730840
610,G.I. Joe: The Rise of Cobra,58.0,"Adventure, Action, Thriller, Science Fiction",08/07/2009,1h 58m,Stephen Sommers,https://www.themoviedb.org/movie/14869
611,Ride Your Wave,75.0,"Animation, Romance, Comedy, Drama, Fantasy",06/21/2019,1h 34m,Masaaki Yuasa,https://www.themoviedb.org/movie/530079
612,Call Me by Your Name,82.0,"Romance, Drama",02/28/2018,2h 12m,Luca Guadagnino,https://www.themoviedb.org/movie/398818
613,Just a Breath Away,63.0,"Drama, Science Fiction, Thriller",04/04/2018,1h 30m,Daniel Roby,https://www.themoviedb.org/movie/477489
614,Shrek the Third,63.0,"Fantasy, Adventure, Animation, Comedy, Family",05/17/2007,1h 33m,Chris Miller,https://www.themoviedb.org/movie/810
615,Brother Bear,72.0,"Adventure, Animation, Family",11/01/2003,1h 25m,Aaron Blaise,https://www.themoviedb.org/movie/10009
616,Caged,62.0,"Thriller, Horror",01/26/2021,1h 21m,Aaron Fjellman,https://www.themoviedb.org/movie/777620
617,Rio,67.0,"Animation, Adventure, Comedy, Family",04/08/2011,1h 36m,Carlos Saldanha,https://www.themoviedb.org/movie/46195
618,X-Men: Apocalypse,65.0,"Action, Adventure, Science Fiction, Fantasy",05/27/2016,2h 24m,Bryan Singer,https://www.themoviedb.org/movie/246655
619,Dreamcatcher,62.0,"Horror, Mystery, Thriller",03/05/2021,1h 30m,Jacob Johnston,https://www.themoviedb.org/movie/793002
620,Spoiled Brats,63.0,Comedy,09/15/2021,1h 40m,Nicolas Cuche,https://www.themoviedb.org/movie/671043
621,The Kissing Booth 3,71.0,"Romance, Comedy",08/11/2021,1h 52m,Vince Marcello,https://www.themoviedb.org/movie/727745
622,Truth or Dare,60,"Thriller, Horror",04/13/2018,1h 40m,Jeff Wadlow,https://www.themoviedb.org/movie/460019
623,Beauty and the Beast,77.0,"Romance, Family, Animation, Fantasy",11/22/1991,1h 24m,Kirk Wise,https://www.themoviedb.org/movie/10020
624,Pacific Rim: Uprising,61.0,"Action, Fantasy, Science Fiction, Adventure",03/28/2018,1h 51m,Steven S. DeKnight,https://www.themoviedb.org/movie/268896
625,Dawn of the Planet of the Apes,73.0,"Science Fiction, Action, Drama, Thriller",07/10/2014,2h 10m,Amanda Silver,https://www.themoviedb.org/movie/119450
626,Special Forces,67.0,"Action, Drama, War",09/14/2012,1h 49m,Stéphane Rybojad,https://www.themoviedb.org/movie/74513
627,Black Panther,74.0,"Action, Adventure, Science Fiction",02/16/2018,2h 14m,Ryan Coogler,https://www.themoviedb.org/movie/284054
628,Parasite,85.0,"Comedy, Thriller, Drama",01/31/2020,2h 13m,Bong Joon-ho,https://www.themoviedb.org/movie/496243
629,X-Men: Days of Future Past,75.0,"Action, Adventure, Fantasy, Science Fiction",05/23/2014,2h 12m,Simon Kinberg,https://www.themoviedb.org/movie/127585
630,A Haunted House,58.0,"Comedy, Horror",01/11/2013,1h 26m,Michael Tiddes,https://www.themoviedb.org/movie/139038
631,Southpaw,74.0,"Action, Drama",07/24/2015,2h 3m,Antoine Fuqua,https://www.themoviedb.org/movie/307081
632,Surviving Paradise: A Family Tale,64.0,Documentary,03/03/2022,1h 18m,Renée Godfrey,https://www.themoviedb.org/movie/936625
633,Five Feet Apart,83.0,"Romance, Drama",03/29/2019,1h 56m,Justin Baldoni,https://www.themoviedb.org/movie/527641
634,Scary Movie 2,58.0,Comedy,07/04/2001,1h 23m,Marlon Wayans,https://www.themoviedb.org/movie/4248
635,Trigger Point,64.0,"Action, Thriller",04/23/2021,1h 22m,Brad Turner,https://www.themoviedb.org/movie/809314
636,Tentacles,63.0,"Horror, Romance",02/12/2021,1h 24m,Clara Aranovich,https://www.themoviedb.org/movie/786300
637,Dragon Ball Z: The Tree of Might,65.0,"Action, Animation, Science Fiction",06/07/1990,1h 1m,Akira Toriyama,https://www.themoviedb.org/movie/39101
638,The Intouchables,83.0,"Drama, Comedy",07/13/2012,1h 53m,Olivier Nakache,https://www.themoviedb.org/movie/77338
639,Tarzan,74.0,"Family, Adventure, Animation, Drama",06/18/1999,1h 28m,Kevin Lima,https://www.themoviedb.org/movie/37135
640,Next-Door Nightmare,62.0,"Thriller, TV Movie, Drama",07/08/2021,1h 26m,Gordon Yang,https://www.themoviedb.org/movie/854442
641,No Manches Frida 2,81.0,Comedy,03/15/2019,1h 42m,Nacho G. Velilla,https://www.themoviedb.org/movie/554596
642,Fall in Love at First Kiss,67.0,"Romance, Comedy",02/14/2019,2h 3m,Frankie Chen,https://www.themoviedb.org/movie/576393
643,The Trip,67.0,"Action, Comedy, Thriller, Horror",07/30/2021,1h 53m,Tommy Wirkola,https://www.themoviedb.org/movie/760747
644,Dragon Ball Z: Fusion Reborn,75.0,"Animation, Action, Fantasy, Science Fiction",03/04/1995,55m,Shigeyasu Yamauchi,https://www.themoviedb.org/movie/39107
645,Naruto Shippuden the Movie: The Lost Tower,70,"Adventure, Action, Animation",07/31/2010,1h 25m,Masahiko Murata,https://www.themoviedb.org/movie/50723
646,A Bug's Life,70,"Adventure, Animation, Comedy, Family",11/25/1998,1h 35m,John Lasseter,https://www.themoviedb.org/movie/9487
647,Spirit: Stallion of the Cimarron,77.0,"Western, Animation, Adventure, Comedy, Family, Drama",05/24/2002,1h 23m,Kelly Asbury,https://www.themoviedb.org/movie/9023
648,The Town,72.0,"Crime, Drama, Thriller",10/15/2010,2h 5m,Ben Affleck,https://www.themoviedb.org/movie/23168
649,The Lord of the Rings: The Two Towers,84.0,"Adventure, Fantasy, Action",12/18/2002,2h 59m,Peter Jackson,https://www.themoviedb.org/movie/121
650,I Want to Eat Your Pancreas,83.0,"Animation, Drama, Romance, Family",09/01/2018,1h 48m,Shinichiro Ushijima,https://www.themoviedb.org/movie/504253
651,The Green Mile,85.0,"Fantasy, Drama, Crime",12/10/1999,3h 8m,Frank Darabont,https://www.themoviedb.org/movie/497
652,Scary Movie 5,48.0,Comedy,04/12/2013,1h 26m,Buddy Johnson,https://www.themoviedb.org/movie/4258
653,CODA,81.0,"Drama, Music, Romance",08/11/2021,1h 52m,Siân Heder,https://www.themoviedb.org/movie/776503
654,Chief Daddy 2: Going for Broke,57.0,Comedy,12/17/2021,1h 52m,Niyi Akinmolayan,https://www.themoviedb.org/movie/922017
655,The Courier,71.0,"Thriller, History, Drama",03/19/2021,1h 52m,Dominic Cooke,https://www.themoviedb.org/movie/522241
656,Predators,62.0,"Science Fiction, Action, Thriller",07/03/2010,1h 47m,John Thomas,https://www.themoviedb.org/movie/34851
657,Captain Marvel,69.0,"Action, Adventure, Science Fiction",03/08/2019,2h 4m,Anna Boden,https://www.themoviedb.org/movie/299537
658,Chaos Walking,68.0,Science Fiction,03/05/2021,1h 49m,Patrick Ness,https://www.themoviedb.org/movie/412656
659,Nobody Sleeps in the Woods Tonight,50,"Horror, Thriller",03/13/2020,1h 42m,Bartosz M. Kowalski,https://www.themoviedb.org/movie/681019
660,Trolls World Tour,74.0,"Family, Animation, Comedy, Fantasy, Adventure, Music",03/11/2020,1h 30m,Jonathan Aibel,https://www.themoviedb.org/movie/446893
661,Shaun the Sheep: The Flight Before Christmas,70,"Animation, Comedy, Family",12/03/2021,30m,Steve Cox,https://www.themoviedb.org/movie/785545
662,Inglourious Basterds,82.0,"Drama, Action, Thriller, War",08/21/2009,2h 33m,Quentin Tarantino,https://www.themoviedb.org/movie/16869
663,The Good Dinosaur,67.0,"Adventure, Animation, Family",11/27/2015,1h 33m,Peter Sohn,https://www.themoviedb.org/movie/105864
664,District 9,74.0,Science Fiction,09/11/2009,1h 52m,Neill Blomkamp,https://www.themoviedb.org/movie/17654
665,Benny Loves You,63.0,"Horror, Comedy",11/21/2019,1h 34m,Karl Holt,https://www.themoviedb.org/movie/647302
666,Penguins of Madagascar,65.0,"Family, Animation, Adventure, Comedy",11/26/2014,1h 32m,Michael Colton,https://www.themoviedb.org/movie/270946
667,Chappie,68.0,"Crime, Action, Science Fiction",03/06/2015,2h,Neill Blomkamp,https://www.themoviedb.org/movie/198184
668,Jack Reacher: Never Go Back,59.0,"Action, Thriller",10/21/2016,1h 58m,Edward Zwick,https://www.themoviedb.org/movie/343611
669,A Quiet Place,74.0,"Horror, Drama, Science Fiction",05/06/2018,1h 31m,John Krasinski,https://www.themoviedb.org/movie/447332
670,A Haunted House 2,61.0,"Comedy, Horror",04/18/2014,1h 27m,Michael Tiddes,https://www.themoviedb.org/movie/184345
671,No Strings Attached,63.0,"Comedy, Romance",01/21/2011,1h 47m,Elizabeth Meriwether,https://www.themoviedb.org/movie/41630
672,White Chicks,69.0,"Comedy, Crime",06/23/2004,1h 49m,Keenen Ivory Wayans,https://www.themoviedb.org/movie/12153
673,No Manches Frida,78.0,Comedy,09/15/2016,1h 40m,Nacho G. Velilla,https://www.themoviedb.org/movie/375794
674,The Funeral Home,46.0,Horror,04/15/2021,1h 26m,Mauro Iván Ojeda,https://www.themoviedb.org/movie/714277
675,We Can Be Heroes,62.0,"Action, Fantasy, Family, Comedy",12/25/2020,1h 37m,Robert Rodriguez,https://www.themoviedb.org/movie/615677
676,New Gods: Nezha Reborn,83.0,"Animation, Action, Fantasy",02/12/2021,1h 56m,Zhao Ji,https://www.themoviedb.org/movie/663558
677,Madagascar,69.0,"Family, Animation, Adventure, Comedy",08/12/2005,1h 26m,Tom McGrath,https://www.themoviedb.org/movie/953
678,The Angry Birds Movie 2,72.0,"Animation, Comedy, Adventure, Family",08/14/2019,1h 37m,Thurop Van Orman,https://www.themoviedb.org/movie/454640
679,Four to Dinner,63.0,"Comedy, Romance",01/05/2022,1h 44m,Alessio Maria Federici,https://www.themoviedb.org/movie/832277
680,Alone,63.0,"Thriller, Horror",09/10/2020,1h 38m,John Hyams,https://www.themoviedb.org/movie/509635
681,Need for Speed,63.0,"Action, Crime, Drama, Thriller",03/21/2014,2h 12m,George Gatins,https://www.themoviedb.org/movie/136797
682,John Wick: Chapter 2,73.0,"Thriller, Action, Crime",02/24/2017,2h 2m,Derek Kolstad,https://www.themoviedb.org/movie/324552
683,LEGO Star Wars Terrifying Tales,69.0,"Family, Animation, Science Fiction, Comedy",10/01/2021,45m,Ken Cunningham,https://www.themoviedb.org/movie/857702
684,Maze Runner: The Scorch Trials,67.0,"Science Fiction, Action, Thriller, Adventure",09/18/2015,2h 11m,Wes Ball,https://www.themoviedb.org/movie/294254
685,Sex Tape,54.0,Comedy,07/18/2014,1h 37m,Jake Kasdan,https://www.themoviedb.org/movie/225886
686,Star Wars,82.0,"Adventure, Action, Science Fiction",04/18/1997,2h 1m,George Lucas,https://www.themoviedb.org/movie/11
687,Sex with Love,65.0,"Comedy, Romance",03/27/2003,1h 48m,Boris Quercia,https://www.themoviedb.org/movie/20222
688,Captain America: The First Avenger,70,"Action, Adventure, Science Fiction",07/22/2011,2h 4m,Joe Johnston,https://www.themoviedb.org/movie/1771
689,Terminator Salvation,60,"Action, Science Fiction, Thriller",05/20/2009,1h 57m,McG,https://www.themoviedb.org/movie/534
690,Fairy Tail: Dragon Cry,66.0,"Action, Adventure, Comedy, Fantasy, Animation",05/06/2017,1h 25m,Tatsuma Minamikawa,https://www.themoviedb.org/movie/433422
691,100% Wolf,59.0,"Animation, Family, Fantasy",06/26/2020,1h 36m,Alexs Stadermann,https://www.themoviedb.org/movie/520946
692,TEKKEN,54.0,"Crime, Drama, Action, Thriller, Science Fiction",03/20/2010,1h 32m,Dwight H. Little,https://www.themoviedb.org/movie/42194
693,I Am Legend,72.0,"Drama, Science Fiction, Thriller",12/14/2007,1h 41m,Francis Lawrence,https://www.themoviedb.org/movie/6479
694,Bad Trip,61.0,Comedy,03/26/2021,1h 27m,Kitao Sakurai,https://www.themoviedb.org/movie/578908
695,I Want You Back,63.0,"Comedy, Romance",02/10/2022,1h 57m,Jason Orley,https://www.themoviedb.org/movie/680860
696,Minnal Murali,72.0,"Action, Adventure, Comedy",12/24/2021,2h 38m,Basil Joseph,https://www.themoviedb.org/movie/657644
697,Despicable Me,72.0,"Family, Animation, Comedy",08/06/2010,1h 35m,Pierre Coffin,https://www.themoviedb.org/movie/20352
698,The Jungle Book,73.0,"Family, Animation, Adventure",10/18/1967,1h 18m,Rudyard Kipling,https://www.themoviedb.org/movie/9325
699,Bambi,70,"Animation, Drama, Family",08/21/1942,1h 10m,David Hand,https://www.themoviedb.org/movie/3170
700,The Scientist,64.0,Horror,09/21/2020,1h 33m,Derrick Granado,https://www.themoviedb.org/movie/715658
701,August Never Ends,20,Romance,04/16/2021,1h 35m,Kai Li,https://www.themoviedb.org/movie/819413
702,El mesero,81.0,Comedy,07/15/2021,1h 26m,Raúl Martínez,https://www.themoviedb.org/movie/678580
703,Despicable Me 2,69.0,"Animation, Comedy, Family",07/03/2013,1h 38m,Chris Renaud,https://www.themoviedb.org/movie/93456
704,Spirited Away,85.0,"Animation, Family, Fantasy",07/20/2001,2h 5m,Hayao Miyazaki,https://www.themoviedb.org/movie/129
705,Dinosaur,65.0,"Family, Animation",05/19/2000,1h 22m,Eric Leighton,https://www.themoviedb.org/movie/10567
706,How to Train Your Dragon: The Hidden World,78.0,"Animation, Family, Adventure",03/21/2019,1h 44m,Dean DeBlois,https://www.themoviedb.org/movie/166428
707,Underworld: Awakening,63.0,"Fantasy, Action, Horror",01/19/2012,1h 28m,Len Wiseman,https://www.themoviedb.org/movie/52520
708,Dinosaur Hotel,52.0,"Horror, Science Fiction, Mystery",06/11/2021,1h 17m,Jack Peter Mundy,https://www.themoviedb.org/movie/839440
709,Monsters University,70,"Animation, Family",06/21/2013,1h 44m,Dan Scanlon,https://www.themoviedb.org/movie/62211
710,Fifty Shades Darker,65.0,"Drama, Romance",02/10/2017,1h 58m,James Foley,https://www.themoviedb.org/movie/341174
711,The Croods,69.0,"Animation, Adventure, Family, Fantasy, Comedy, Action",03/22/2013,1h 38m,Kirk DeMicco,https://www.themoviedb.org/movie/49519
712,Brave,70,"Animation, Adventure, Comedy, Family, Action, Fantasy",06/22/2012,1h 33m,Brenda Chapman,https://www.themoviedb.org/movie/62177
713,Batman,72.0,"Fantasy, Action",03/13/1990,2h 6m,Sam Hamm,https://www.themoviedb.org/movie/268
714,Is It Wrong to Try to Pick Up Girls in a Dungeon?: Arrow of the Orion,78.0,"Action, Adventure, Comedy, Fantasy, Romance, Animation",02/15/2019,1h 22m,Katsushi Sakurabi,https://www.themoviedb.org/movie/553835
715,Transformers: The Last Knight,61.0,"Action, Adventure, Science Fiction, Fantasy",06/21/2017,2h 35m,Matt Holloway,https://www.themoviedb.org/movie/335988
716,Body Brokers,65.0,"Thriller, Crime",02/19/2021,1h 51m,John Swab,https://www.themoviedb.org/movie/656940
717,Upside-Down Magic,73.0,"Fantasy, Family, TV Movie",11/10/2020,1h 36m,Joe Nussbaum,https://www.themoviedb.org/movie/671583
718,Aladdin,71.0,"Adventure, Fantasy, Romance, Family",05/24/2019,2h 8m,Guy Ritchie,https://www.themoviedb.org/movie/420817
719,Broken Idol: The Undoing of Diomedes Díaz,70,Documentary,03/30/2022,1h 42m,Jorge Durán,https://www.themoviedb.org/movie/950511
720,The Tinder Swindler,71.0,"Documentary, Crime",02/02/2022,1h 54m,Felicity Morris,https://www.themoviedb.org/movie/923632
721,Wrong Turn 5: Bloodlines,54.0,"Horror, Thriller",10/23/2012,1h 31m,Declan O'Brien,https://www.themoviedb.org/movie/125509
722,Vanquish,57.0,"Action, Crime, Thriller",04/16/2021,1h 36m,George Gallo,https://www.themoviedb.org/movie/804435
723,Wrath of the Titans,57.0,"Fantasy, Adventure",03/30/2012,1h 39m,David Leslie Johnson-McGoldrick,https://www.themoviedb.org/movie/57165
724,American Sniper,74.0,"War, Action",01/16/2015,2h 13m,Clint Eastwood,https://www.themoviedb.org/movie/190859
725,The Meg,62.0,"Action, Science Fiction, Horror",08/10/2018,1h 53m,Jon Turteltaub,https://www.themoviedb.org/movie/345940
726,Saint Seiya Heaven Chapter: Overture,77.0,"Animation, Fantasy",02/14/2004,1h 23m,Shigeyasu Yamauchi,https://www.themoviedb.org/movie/50253
727,Safer at Home,55.0,"Thriller, Horror",11/01/2021,1h 22m,Will Wernick,https://www.themoviedb.org/movie/792657
728,Stand by Me Doraemon,73.0,"Animation, Family, Science Fiction, Fantasy",08/08/2014,1h 30m,Takashi Yamazaki,https://www.themoviedb.org/movie/265712
729,Maze Runner: The Death Cure,71.0,"Science Fiction, Action, Adventure, Thriller",02/09/2018,2h 23m,Wes Ball,https://www.themoviedb.org/movie/336843
730,Space Sweepers,72.0,"Drama, Fantasy, Science Fiction",02/05/2021,2h 16m,Jo Sung-hee,https://www.themoviedb.org/movie/581389
731,Just Go with It,66.0,"Comedy, Romance",02/11/2011,1h 57m,Dennis Dugan,https://www.themoviedb.org/movie/50546
732,Hansel & Gretel: Witch Hunters,60,"Fantasy, Horror, Action",01/25/2013,1h 28m,Tommy Wirkola,https://www.themoviedb.org/movie/60304
733,The Secret Life of Pets 2,70,"Adventure, Animation, Comedy, Family",06/14/2019,1h 26m,Brian Lynch,https://www.themoviedb.org/movie/412117
734,The Power of the Dog,68.0,"Drama, Western",12/01/2021,2h 7m,Jane Campion,https://www.themoviedb.org/movie/600583
735,Logan,78.0,"Action, Drama, Science Fiction",03/03/2017,2h 17m,James Mangold,https://www.themoviedb.org/movie/263115
736,Shazam!,71.0,"Action, Comedy, Fantasy",04/05/2019,2h 12m,Henry Gayden,https://www.themoviedb.org/movie/287947
