,Name,Rating,Genre,Release Date,Runtime,Director,Url
151,The Amazing Spider-Man,67.0,"Action, Adventure, Fantasy",06/29/2012 (IN),2h 16m,James Vanderbilt,https://www.themoviedb.org/movie/1930
152,Meander,60,"Horror, Science Fiction, Drama, Thriller",05/26/2021 (FR),1h 31m,Mathieu Turi,https://www.themoviedb.org/movie/523936
153,Ciao Alberto,75.0,"Animation, Comedy, Family, Fantasy",11/12/2021 (US),7m,McKenna Jean Harris,https://www.themoviedb.org/movie/876716
154,Dragon Fury,62.0,"Horror, Fantasy, Mystery",06/15/2021 (US),1h 28m,Scott Jeffrey,https://www.themoviedb.org/movie/839436
155,The Unholy,68.0,Horror,04/02/2021 (US),1h 39m,Evan Spiliotopoulos,https://www.themoviedb.org/movie/632357
156,The Last: Naruto the Movie,78.0,"Action, Romance, Animation",12/06/2014 (JP),1h 54m,Tsuneo Kobayashi,https://www.themoviedb.org/movie/317442
157,Halo Legends,74.0,"Animation, War, Drama",02/16/2010 (US),2h,Hiroshi Yamazaki,https://www.themoviedb.org/movie/573531
158,Dynasty Warriors,64.0,"Action, Adventure, Fantasy",04/27/2021 (HK),1h 58m,Roy Chow Hin-Yeung,https://www.themoviedb.org/movie/525660
159,Naruto Shippuden the Movie,72.0,"Animation, Action, Fantasy",08/04/2007 (JP),1h 34m,Hajime Kamegaki,https://www.themoviedb.org/movie/20982
160,Wrath of Man,77.0,"Action, Crime, Thriller",05/07/2021 (US),1h 59m,Guy Ritchie,https://www.themoviedb.org/movie/637649
161,¿Y cómo es él?,0,Comedy,04/07/2022 (MX),1h 35m,Ariel Winograd,https://www.themoviedb.org/movie/671318
162,The Avengers,77.0,"Science Fiction, Action, Adventure",04/27/2012 (IN),2h 23m,Joss Whedon,https://www.themoviedb.org/movie/24428
163,Seal Team,72.0,"Animation, Family, Comedy",10/28/2021 (CZ),1h 38m,Greig Cameron,https://www.themoviedb.org/movie/823610
164,The Conjuring: The Devil Made Me Do It,76.0,"Horror, Mystery, Thriller",06/04/2021 (US),1h 51m,David Leslie Johnson-McGoldrick,https://www.themoviedb.org/movie/423108
165,Harry Potter and the Chamber of Secrets,77.0,"Adventure, Fantasy",04/25/2003 (IN),2h 41m,Chris Columbus,https://www.themoviedb.org/movie/672
166,Harry Potter and the Goblet of Fire,78.0,"Adventure, Fantasy, Family",11/18/2005 (IN),2h 37m,Mike Newell,https://www.themoviedb.org/movie/674
167,The Wonderful Winter of Mickey Mouse,60,"Animation, Comedy",02/18/2022 (US),24m,Ryan Gillis,https://www.themoviedb.org/movie/939336
